
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
Art-A-TA, TA, D3, https://drive.google.com/drive/folders/12i7NpID1m6pUsgQG6Q4wCVBcD5P7MFU9?usp=share_link, DA, <br>, NOTIME, NOTIME
Art-A-TA, TA, D3, https://drive.google.com/drive/folders/12i7NpID1m6pUsgQG6Q4wCVBcD5P7MFU9?usp=share_link, DA, 39daph draws the belt for the chibi version of Sage from Valorant/ She is useing a smooth brush and drawing in black, 00:37:07, 0:00
Art-A-TA, TA, D3, https://drive.google.com/drive/folders/12i7NpID1m6pUsgQG6Q4wCVBcD5P7MFU9?usp=share_link, DA, Users are asking questions and making comments in the chat, 00:37:07, 1:06
Art-A-TA, TA, D3, https://drive.google.com/drive/folders/12i7NpID1m6pUsgQG6Q4wCVBcD5P7MFU9?usp=share_link, DA, Sage is drinking a drink, 00:37:07, 1:30
Art-A-TA, TA, D3, https://drive.google.com/drive/folders/12i7NpID1m6pUsgQG6Q4wCVBcD5P7MFU9?usp=share_link, DA, Sage hums the background music she is playing while she cleans up the lines on the belt with the eraser., 00:37:07, 1:45
Art-A-TA, TA, D3, https://drive.google.com/drive/folders/12i7NpID1m6pUsgQG6Q4wCVBcD5P7MFU9?usp=share_link, DA, miinochus resubscribed for 24 months|| triggering a dog animation to summersault on 39daph's screen., 00:37:07, 2:22
